lon,lat,date
2.177,41.413,2019-11-06
2.176,41.413,2019-06-24
2.176,41.413,2019-11-27
2.177,41.413,2019-11-12
2.176,41.413,2019-04-25
2.176,41.412,2019-07-29
2.176,41.412,2019-10-31
2.176,41.412,2019-04-05
2.176,41.412,2019-09-20
2.176,41.412,2019-04-09
2.177,41.412,2019-06-12
2.176,41.412,2019-10-04
2.176,41.412,2019-10-28
2.176,41.412,2019-01-16
2.176,41.412,2019-01-29
2.176,41.412,2019-06-27
2.176,41.412,2019-03-03
2.174,41.412,2019-01-13
2.175,41.412,2019-12-14
2.176,41.412,2019-01-08
2.174,41.412,2019-03-18
2.175,41.412,2019-11-28
2.176,41.412,2019-09-13
2.176,41.412,2019-07-24
2.176,41.412,2019-11-19
2.174,41.412,2019-01-31
2.175,41.412,2019-11-04
2.174,41.412,2019-01-06
2.175,41.412,2019-03-09
2.174,41.412,2019-02-09
2.175,41.412,2019-10-05
2.175,41.412,2019-12-01
2.177,41.411,2019-09-08
2.177,41.411,2019-05-08
2.172,41.411,2019-12-22
2.172,41.411,2019-12-15
2.173,41.411,2019-11-22
2.172,41.411,2019-04-14
2.174,41.411,2019-03-20
2.186,41.411,2019-02-21
2.219,41.411,2019-10-02
2.174,41.411,2019-03-24
2.173,41.41,2019-11-05
2.172,41.41,2019-12-03
2.174,41.411,2019-03-23
2.173,41.41,2019-11-26
2.173,41.41,2019-05-23
2.176,41.411,2019-11-23
2.172,41.41,2019-07-17
2.173,41.41,2019-11-05
2.172,41.411,2019-10-12
2.219,41.411,2019-08-04
2.173,41.41,2019-05-17
2.173,41.41,2019-10-07
2.176,41.411,2019-09-03
2.173,41.41,2019-11-10
2.173,41.41,2019-03-19
2.176,41.411,2019-11-18
2.173,41.41,2019-07-03
2.173,41.41,2019-03-22
2.177,41.411,2019-11-05
2.177,41.411,2019-05-14
2.173,41.41,2019-05-19
2.173,41.409,2019-06-06
2.178,41.409,2019-04-05
2.147,41.408,2019-08-23
2.185,41.408,2019-08-12
2.159,41.407,2019-09-09
2.146,41.407,2019-10-16
2.173,41.408,2019-08-05
2.173,41.408,2019-11-10
2.185,41.408,2019-01-25
2.172,41.408,2019-03-22
2.173,41.408,2019-02-09
2.172,41.408,2019-02-10
2.172,41.407,2019-12-10
2.172,41.407,2019-03-22
2.171,41.407,2019-09-09
2.172,41.407,2019-02-15
2.173,41.407,2019-05-09
2.185,41.408,2019-08-03
2.171,41.407,2019-06-02
2.172,41.407,2019-03-21
2.172,41.407,2019-05-01
2.172,41.407,2019-05-23
2.172,41.407,2019-03-14
2.173,41.407,2019-09-06
2.171,41.407,2019-07-17
2.171,41.407,2019-07-09
2.171,41.407,2019-04-13
2.172,41.407,2019-10-14
2.172,41.407,2019-05-27
2.172,41.407,2019-07-01
2.173,41.407,2019-08-27
2.174,41.407,2019-10-08
2.185,41.408,2019-06-05
2.171,41.407,2019-04-28
2.172,41.407,2019-02-15
2.172,41.407,2019-11-02
2.172,41.407,2019-09-12
2.172,41.407,2019-03-21
2.173,41.407,2019-06-11
2.171,41.407,2019-09-19
2.171,41.407,2019-12-11
2.172,41.407,2019-11-09
2.172,41.407,2019-06-11
2.172,41.407,2019-09-13
2.172,41.407,2019-02-11
2.168,41.407,2019-07-28
2.146,41.407,2019-05-26
2.159,41.408,2019-02-28
2.174,41.407,2019-03-01
2.184,41.408,2019-05-20
2.146,41.408,2019-05-19
2.159,41.408,2019-07-27
2.171,41.407,2019-04-30
2.171,41.407,2019-02-01
2.171,41.407,2019-08-20
2.172,41.407,2019-01-15
2.172,41.407,2019-12-07
2.172,41.407,2019-05-08
2.172,41.407,2019-09-17
2.173,41.407,2019-03-07
2.184,41.408,2019-02-14
2.171,41.407,2019-09-09
2.171,41.407,2019-02-01
2.171,41.407,2019-12-21
2.171,41.407,2019-10-30
2.171,41.407,2019-07-19
2.172,41.407,2019-05-31
2.172,41.407,2019-08-23
2.172,41.407,2019-02-01
2.172,41.407,2019-12-11
2.173,41.407,2019-01-26
2.171,41.407,2019-08-20
2.171,41.407,2019-04-18
2.172,41.407,2019-04-27
2.172,41.407,2019-05-03
2.172,41.407,2019-01-02
2.172,41.407,2019-07-01
2.173,41.407,2019-01-31
2.183,41.409,2019-09-03
2.16,41.408,2019-12-22
2.171,41.407,2019-09-15
2.171,41.407,2019-01-18
2.171,41.407,2019-06-23
2.171,41.407,2019-03-21
2.171,41.407,2019-11-10
2.172,41.407,2019-09-27
2.172,41.407,2019-10-06
2.172,41.407,2019-12-22
2.172,41.407,2019-06-11
2.173,41.407,2019-06-19
2.17,41.407,2019-04-14
2.171,41.407,2019-11-23
2.171,41.407,2019-10-19
2.172,41.407,2019-09-21
2.172,41.407,2019-09-18
2.172,41.407,2019-10-04
2.172,41.407,2019-04-25
2.173,41.407,2019-03-08
2.17,41.407,2019-05-19
2.17,41.406,2019-11-04
2.171,41.406,2019-09-21
2.171,41.406,2019-04-28
2.171,41.406,2019-01-12
2.171,41.406,2019-04-05
2.171,41.406,2019-09-03
2.172,41.406,2019-02-03
2.172,41.406,2019-12-31
2.172,41.406,2019-04-01
2.172,41.406,2019-11-01
2.172,41.406,2019-08-27
2.173,41.406,2019-01-08
2.17,41.406,2019-02-07
2.17,41.406,2019-07-05
2.171,41.406,2019-04-25
2.171,41.406,2019-08-04
2.171,41.406,2019-11-02
2.171,41.406,2019-11-22
2.171,41.406,2019-07-22
2.172,41.406,2019-05-25
2.172,41.406,2019-12-18
2.172,41.406,2019-05-01
2.172,41.406,2019-09-10
2.173,41.406,2019-06-29
2.17,41.406,2019-06-12
2.171,41.406,2019-05-16
2.171,41.406,2019-07-10
2.171,41.406,2019-11-26
2.171,41.406,2019-02-05
2.171,41.406,2019-03-10
2.171,41.406,2019-05-06
2.172,41.406,2019-04-15
2.172,41.406,2019-12-28
2.172,41.406,2019-06-11
2.172,41.406,2019-01-17
2.173,41.406,2019-05-28
2.174,41.406,2019-06-09
2.147,41.408,2019-10-27
2.17,41.406,2019-12-25
2.17,41.406,2019-12-23
2.171,41.406,2019-03-23
2.171,41.406,2019-08-13
2.171,41.406,2019-03-13
2.171,41.406,2019-07-31
2.171,41.406,2019-02-10
2.171,41.406,2019-10-24
2.172,41.406,2019-07-13
2.172,41.406,2019-03-21
2.172,41.406,2019-01-10
2.172,41.406,2019-05-15
2.173,41.406,2019-09-27
2.174,41.406,2019-04-04
2.17,41.406,2019-08-17
2.171,41.406,2019-12-06
2.171,41.406,2019-07-15
2.171,41.406,2019-12-29
2.171,41.406,2019-02-23
2.171,41.406,2019-04-05
2.171,41.406,2019-09-01
2.172,41.406,2019-11-04
2.172,41.406,2019-04-24
2.172,41.406,2019-02-25
2.172,41.406,2019-06-17
2.173,41.406,2019-09-03
2.174,41.406,2019-10-01
2.17,41.406,2019-12-06
2.17,41.406,2019-09-22
2.171,41.406,2019-08-13
2.171,41.406,2019-08-01
2.171,41.406,2019-01-02
2.171,41.406,2019-06-07
2.171,41.406,2019-06-02
2.171,41.406,2019-04-15
2.172,41.406,2019-04-02
2.172,41.406,2019-01-21
2.172,41.406,2019-02-19
2.172,41.406,2019-05-19
2.173,41.406,2019-06-15
2.173,41.406,2019-10-17
2.173,41.406,2019-07-02
2.174,41.406,2019-06-20
2.174,41.406,2019-12-20
2.17,41.406,2019-12-13
2.17,41.406,2019-04-21
2.171,41.406,2019-12-17
2.171,41.406,2019-01-25
2.171,41.406,2019-08-26
2.171,41.406,2019-08-04
2.171,41.406,2019-02-09
2.171,41.406,2019-12-14
2.171,41.406,2019-03-07
2.171,41.406,2019-02-14
2.172,41.406,2019-05-28
2.172,41.406,2019-11-25
2.172,41.406,2019-01-05
2.172,41.406,2019-08-26
2.173,41.406,2019-10-01
2.174,41.406,2019-10-20
2.174,41.406,2019-09-21
2.201,41.406,2019-08-05
2.17,41.406,2019-04-18
2.17,41.406,2019-04-03
2.171,41.406,2019-05-31
2.171,41.406,2019-06-22
2.171,41.406,2019-08-01
2.171,41.406,2019-12-29
2.171,41.406,2019-12-20
2.171,41.406,2019-03-08
2.171,41.406,2019-10-06
2.171,41.406,2019-06-04
2.172,41.406,2019-03-24
2.172,41.406,2019-12-15
2.172,41.406,2019-11-26
2.172,41.406,2019-05-30
2.173,41.406,2019-05-29
2.17,41.406,2019-04-20
2.17,41.406,2019-11-01
2.17,41.406,2019-11-24
