name,category,address,lat,lon
Centre Educatiu Thau,Centre,Av Esplugues 49,41.388,2.105
Ateneu  Sant Andreu,otro,Carrer de l'Abat Odó 71,41.432,2.185
Jardins d'Elvira Farreras Valentí,Jardins,C Manacor 17,41.407,2.143
Casal de Barri Font d'en Fargues,otro,C Pedrell 67,41.424,2.165
Associació Rambla de Catalunya,otro,Rambla de Catalunya 61,41.391,2.164
Fàbrica de Creació Graner,otro,C Jane Addams 14,41.362,2.136
Escola Mossèn Jacint Verdaguer,Escola,C Lleida 32,41.373,2.155
Centre Esportiu Municipal Putxet,Centre,C Marmellà 23,41.41,2.141
Universitat de Barcelona,otro,Gran Via de les Corts Catalanes 585,41.387,2.164
Funicular Vallvidrera  FGC,otro,Carrer de les Alberes 16,41.414,2.106
Funicular Tibidabo  Cuca de Llum,otro,Plaça del Doctor Andreu 1,41.416,2.131
Tramvia Blau TibidaboTMB,otro,Avinguda del Tibidabo 2,41.411,2.137
Sala El Molino,otro,Carrer de Vila i Vilà 99,41.375,2.167
Institut Nacional d'Educació Física de Catalunya *Barcelona,otro,Av Estadi 12,41.365,2.147
Col·legi Oficial de Metges de Barcelona,otro,Pg Bonanova 47,41.404,2.129
Velodrom Municipal d'Horta Miquel Poblet,otro,Pg Vall d'Hebron 185,41.437,2.15
Restaurant Can Travi Nou,Restaurant,C Jorge Manrique nan,41.431,2.15
Parròquia de la Santíssima Trinitat,Parròquia,C Turó de la Trinitat 30,41.45,2.19
Poble Espanyol de Barcelona,otro,Avinguda de Francesc Ferrer i Guàrdia 13,41.369,2.147
Casal Sant Jordi,otro,Pau Claris 81,41.389,2.171
Mercat Boqueria  Sant Josep,Mercat,Carrer la Rambla 89,41.382,2.172
Mercat Santa Caterina,Mercat,Av Francesc Cambó 16,41.386,2.178
Mercat Hostafrancs,Mercat,Carrer de la Creu Coberta 93,41.375,2.144
Casa Bonaventura Ferrer,otro,Pg Gràcia 113,41.397,2.158
Mercat Sants,Mercat,C Sant Jordi 6,41.375,2.134
Hospital del Mar,otro,Passeig Marítim de la Barceloneta  Oriol Bohigas 25,41.383,2.195
Club Natació Atlètic  Barceloneta,Club,Pl Mar 1,41.373,2.189
Centre Comercial Arenas de Barcelona,Centre,G.V. Corts Catalanes 373,41.376,2.15
Museu del Modernisme de Barcelona,Museu,C Balmes 48,41.389,2.163
Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel  Basílica,Parròquia,Pl Mercè 1,41.379,2.18
Institut Français de Barcelone,otro,C Moià 8,41.395,2.152
Jardins de Magalí,Jardins,C Vallespir 194,41.385,2.134
Casa Amatller,otro,Pg Gràcia 41,41.392,2.165
Barcelona  Casa Vídua Marfà,otro,Pg Gràcia 66,41.393,2.164
El Born i la Ribera,destacat,Pg Born 30,41.385,2.183
La Barceloneta,destacat,C Baluard 50,41.38,2.189
Sants i Hostafrancs,otro,C Creu Coberta 100,41.375,2.143
La Vila Olímpica,otro,C Salvador Espriu 43,41.389,2.197
El Fòrum,otro,Pl Fòrum 2,41.411,2.222
Federació Eix Comercial SantsLes Corts,otro,Carrer de Melcior de Palau 77,41.38,2.134
Parc de les Rieres d'Horta,Parc,Av Estatut de Catalunya 21,41.431,2.154
Torre del Rellotge,otro,Pl Bonet i Muixí 3,41.374,2.137
Palau de la Premsa,Palau,Av Rius i Taulet 5,41.372,2.154
La Plaça del Sortidor,otro,Pl Sortidor 4,41.373,2.162
Finca Sansalvador,otro,Pg Mare de Déu del Coll 79,41.419,2.148
Mercat de les Flors Centre de les Arts de Moviment,Centre,Lleida 59,41.371,2.157
Casa Rosa Alemany,otro,Av República Argentina 6,41.407,2.149
Casa Serès,otro,C Verdi 39,41.404,2.157
Conjunt de Cases al Carrer Francisco Giner,otro,C Francisco Giner 16,41.399,2.159
Cases Manuel Raventós,otro,Rbla Prat 13,41.401,2.152
Edifici J. Artigas,otro,C Martínez de la Rosa 34,41.4,2.159
Habitatge Classicista Providència 79,otro,C Providència 79,41.408,2.159
Restaurant Casa Tejada,Restaurant,C Tenor Viñas 3,41.395,2.142
Club Esportiu Mediterrani *Instal·lació Josep Vallès,Club,C Begur 44,41.373,2.13
Associació Cultural El Raval El Lokal,destacat,C Cera 1,41.379,2.167
World Trade Center,otro,Moll Barcelona 1,41.371,2.182
Servei d'Esports de la Universitat de Barcelona,otro,Av Diagonal 695,41.381,2.105
Casa Cama i Escurra,otro,C Gran de Gràcia 15,41.398,2.157
Casa Claudi Alsina,otro,Plaça de Lesseps 10,41.407,2.151
Casa Eudald Obradors,otro,Av República Argentina 90,41.411,2.146
Casa Gaspar Galí,otro,C Montseny 45,41.403,2.156
Casa Manuel Colchero,otro,C Camèlies 34,41.412,2.16
Casa Miquel Cal Millàs,otro,C Vallfogona 18,41.403,2.158
Casa Pere Jaqués,otro,C Olot 2,41.413,2.152
Casa Ramos,otro,Pl Lesseps 30,41.406,2.15
Casa de les Altures,otro,Rda Guinardó 49,41.413,2.166
Teatre Grec,otro,Pg Santa Madrona 36,41.368,2.158
Parròquia de Santa Maria de Gràcia,Parròquia,C Gràcia 3,41.398,2.158
Club Tennis La Salut,Club,Carrer de la Mare de Déu de la Salut 75,41.412,2.158
Parc de Can Rigal,Parc,Av Albert Bastardas 23,41.379,2.108
Torre d'Ignacio Portabella,otro,Av Tibidabo 27,41.413,2.135
El Jardí Vertical,otro,C Berlín 107,41.385,2.142
Casa Hurtado,otro,Av Pedralbes 46,41.392,2.116
La Gran Via de Carles III,otro,G.V. Carles III 60,41.384,2.128
La plaça de la Concòrdia,otro,Pl Concòrdia nan,41.387,2.132
La Porta Sud de la Finca Güell,otro,C Lluís Solé i Sabarís 1,41.385,2.119
Antic Dispensari Antituberculós,otro,C Torres i Amat 8,41.384,2.165
Jardinets de Salvador Espriu,otro,Pg Gràcia 118,41.397,2.159
Ca l'Estruc Convent de les Germanes de l'Assumpció,otro,C Pons i Gallarza 30,41.436,2.188
Botiga Casa Rusca,otro,C Gran de Sant Andreu 135,41.432,2.189
La Mina Grott,otro,Camí del Camasec 22,41.415,2.098
Cooperativa La Guardiola Familiar,otro,C Borriana 54,41.431,2.192
Pavelló de Ràdio Barcelona al Parc d'Atraccions del Tibidabo,Parc,Carretera de Vallvidrera al Tibidabo 101,41.424,2.119
Villa Esperanza,otro,Ptge Isabel 8,41.414,2.146
Colònia Bausili,otro,C Colònia Bausili 3,41.353,2.144
Carrer Avió Plus Ultra,otro,C Avió Plus Ultra 1,41.4,2.122
Bar Colòmbia,otro,Rbla Fabra i Puig 1,41.43,2.19
El camp de la Creu,otro,Pl Carme 1,41.389,2.14
Sant Joan de Dalt,otro,Pg Sant Joan 150,41.402,2.166
El pont de Mühlberg,otro,C Mühlberg 100,41.419,2.162
Can Carreras,otro,Parc Central de Nou Barris 0,41.437,2.168
El passatge de l'Esperança,otro,Ptge Esperança 5,41.429,2.177
Casa de la Lactància,otro,G.V. Corts Catalanes 475,41.38,2.155
Casal de Barri Can Portabella,otro,C Virgili 18,41.429,2.194
Forn de Pa Roura Vila,otro,C Calaf 15,41.397,2.144
Restaurant Dos Torres,Restaurant,Via Augusta 300,41.398,2.129
Eix Comercial del Poblenou,otro,C Pallars 224,41.403,2.2
Las Golondrinas  Sirenas SA,otro,Moll Drassanes 1,41.375,2.178
Casa Elisa Bremon d'Espina,otro,C Gran de Gràcia 61,41.4,2.156
Casa Eloy Detouche,otro,C Pare Laínez 17,41.407,2.165
Casa F. Homet,otro,C Santa Magdalena 1,41.404,2.152
Casa Feliu Iglesies,otro,C Gran de Gràcia 135,41.402,2.153
Casa Gustà,otro,C Ca l'Alegre de Dalt 72,41.41,2.16
Santa Creu d'Olorda,otro,Ctra Santa Creu Olorda a Sarrià 417,41.416,2.059
Pont de Calatrava Bac de Roda  Felip II,otro,Carrer de Felip II 2,41.416,2.192
Can Mora,otro,C Portell 11,41.418,2.151
Can Muntaner de Dalt,otro,C Olot 1,41.414,2.153
Can Trilla,otro,C Gran de Gràcia 177,41.404,2.152
El Campus Raval  UB,otro,C Montalegre 6,41.384,2.167
Carrer Pons i Gallarza,otro,C Bascònia 45,41.436,2.187
Carrer Puerto Príncipe,otro,C Puerto Príncipe 44,41.423,2.181
La Plaça Santa Madrona,otro,Pl Santa Madrona 3,41.373,2.156
Camisseria Bonet,otro,C Rambla 72,41.381,2.174
Casa Doctor Genové,otro,C Rambla 77,41.381,2.173
Casa Domènech i Estapà,otro,C València 241,41.392,2.163
Ateneu de Fabricació Digital de Les Corts,otro,Carrer d'Evarist Arnús 59,41.384,2.136
Seu de la Secció 10 de les Patrulles de Control Guerra Civil,otro,C Gran de Sant Andreu 52,41.429,2.19
Pis  Museu Habitatge 1/11,Museu,Passeig de Torras i Bages 91,41.441,2.19
Àntic Edifici de Catalana de Gas i Electricitat SA,otro,Av Portal de l'Àngel 20,41.386,2.173
Sala Lliure de Gràcia,otro,C Montseny 47,41.403,2.156
Viaducte de Vallcarca,otro,C Gomis 2,41.412,2.143
Casa Muntadas,otro,Av Tibidabo 48,41.415,2.133
Fossar de les Moreres,otro,Pl Fossar de les Moreres 1,41.384,2.182
Edifici Alhambra,otro,C Berlinès 5,41.404,2.14
El Farró a través del carrer Saragossa,otro,C Saragossa 1,41.401,2.151
