date,sound_level_mean,lat,lon
2019-07-01,70.68,41.375,2.159
2019-07-02,70.39,41.375,2.159
2019-07-03,69.93,41.375,2.159
2019-07-04,70.1,41.375,2.159
2019-07-05,70.65,41.375,2.159
2019-07-06,69.92,41.375,2.159
2019-07-07,69.32,41.375,2.159
2019-07-08,69.62,41.375,2.159
2019-07-09,70.32,41.375,2.159
2019-07-10,70.03,41.375,2.159
2019-07-11,70.34,41.375,2.159
2019-07-12,70.77,41.375,2.159
2019-07-13,69.82,41.375,2.159
2019-07-14,69.2,41.375,2.159
2019-07-15,70.18,41.375,2.159
2019-07-16,69.8,41.375,2.159
2019-07-17,70.21,41.375,2.159
2019-07-18,70.15,41.375,2.159
2019-07-19,70.82,41.375,2.159
2019-07-20,70.64,41.375,2.159
2019-07-21,69.98,41.375,2.159
2019-07-22,70.18,41.375,2.159
2019-07-23,70.55,41.375,2.159
2019-07-24,70.5,41.375,2.159
2019-07-25,70.39,41.375,2.159
2019-07-26,70.15,41.375,2.159
2019-07-27,70.15,41.375,2.159
2019-07-28,69.17,41.375,2.159
2019-07-29,70.14,41.375,2.159
2019-07-30,70.26,41.375,2.159
2019-07-31,70.19,41.375,2.159
2019-08-01,69.85,41.375,2.159
2019-08-02,70.02,41.375,2.159
2019-08-03,69.75,41.375,2.159
2019-08-04,69.18,41.375,2.159
2019-08-05,69.45,41.375,2.159
2019-08-06,69.6,41.375,2.159
2019-08-07,69.82,41.375,2.159
2019-08-08,70.05,41.375,2.159
2019-08-09,70.16,41.375,2.159
2019-08-10,69.7,41.375,2.159
2019-08-11,69.02,41.375,2.159
2019-08-12,69.85,41.375,2.159
2019-08-13,69.0,41.375,2.159
2019-08-14,69.52,41.375,2.159
2019-08-15,69.1,41.375,2.159
2019-08-16,69.75,41.375,2.159
2019-08-17,70.1,41.375,2.159
2019-08-18,69.09,41.375,2.159
2019-08-19,69.54,41.375,2.159
2019-08-20,69.08,41.375,2.159
2019-08-21,68.98,41.375,2.159
2019-08-22,69.48,41.375,2.159
2019-08-23,69.52,41.375,2.159
2019-08-24,68.62,41.375,2.159
2019-08-25,68.69,41.375,2.159
2019-08-26,69.6,41.375,2.159
2019-08-27,69.95,41.375,2.159
2019-08-28,69.51,41.375,2.159
2019-08-29,69.92,41.375,2.159
2019-08-30,69.74,41.375,2.159
2019-08-31,69.73,41.375,2.159
2019-09-01,68.52,41.375,2.159
2019-09-02,69.79,41.375,2.159
2019-09-03,70.24,41.375,2.159
2019-09-04,70.34,41.375,2.159
2019-09-05,70.23,41.375,2.159
2019-09-06,70.66,41.375,2.159
2019-09-07,69.21,41.375,2.159
2019-09-08,69.45,41.375,2.159
2019-09-09,70.23,41.375,2.159
2019-09-10,71.85,41.375,2.159
2019-09-11,69.98,41.375,2.159
2019-09-12,70.43,41.375,2.159
2019-09-13,70.4,41.375,2.159
2019-09-14,69.38,41.375,2.159
2019-09-15,68.85,41.375,2.159
2019-09-16,70.21,41.375,2.159
2019-09-17,70.25,41.375,2.159
2019-09-18,70.1,41.375,2.159
2019-09-19,70.58,41.375,2.159
2019-09-20,70.85,41.375,2.159
2019-09-21,70.65,41.375,2.159
2019-09-22,70.2,41.375,2.159
2019-09-23,70.42,41.375,2.159
2019-09-24,71.0,41.375,2.159
2019-09-25,70.7,41.375,2.159
2019-09-26,70.65,41.375,2.159
2019-09-27,70.8,41.375,2.159
2019-09-28,69.95,41.375,2.159
2019-09-29,69.02,41.375,2.159
2019-09-30,70.55,41.375,2.159
2019-10-01,70.5,41.375,2.159
2019-10-02,70.3,41.375,2.159
2019-10-03,70.28,41.375,2.159
2019-10-04,70.45,41.375,2.159
2019-10-05,70.52,41.375,2.159
2019-10-06,69.52,41.375,2.159
2019-10-07,70.68,41.375,2.159
2019-10-08,70.11,41.375,2.159
2019-10-09,70.55,41.375,2.159
2019-10-10,70.54,41.375,2.159
2019-10-11,70.85,41.375,2.159
2019-10-12,70.25,41.375,2.159
2019-10-13,69.62,41.375,2.159
2019-10-14,71.0,41.375,2.159
2019-10-15,70.85,41.375,2.159
2019-10-16,69.77,41.375,2.159
2019-10-17,70.19,41.375,2.159
2019-10-18,69.29,41.375,2.159
2019-10-19,69.93,41.375,2.159
2019-10-20,69.02,41.375,2.159
2019-10-21,70.15,41.375,2.159
2019-10-22,70.45,41.375,2.159
2019-10-23,72.09,41.375,2.159
2019-10-24,70.47,41.375,2.159
2019-10-25,70.57,41.375,2.159
2019-10-26,70.15,41.375,2.159
2019-10-27,70.05,41.375,2.159
2019-10-28,70.38,41.375,2.159
2019-10-29,70.67,41.375,2.159
2019-10-30,70.56,41.375,2.159
2019-10-31,70.38,41.375,2.159
2019-11-01,69.89,41.375,2.159
2019-11-02,70.05,41.375,2.159
2019-11-03,69.03,41.375,2.159
2019-11-04,69.63,41.375,2.159
2019-11-05,69.99,41.375,2.159
2019-11-06,70.42,41.375,2.159
2019-11-07,70.25,41.375,2.159
2019-11-08,70.62,41.375,2.159
2019-11-09,70.22,41.375,2.159
2019-11-10,69.38,41.375,2.159
2019-11-11,69.99,41.375,2.159
2019-11-12,70.26,41.375,2.159
2019-11-13,70.31,41.375,2.159
2019-11-14,71.18,41.375,2.159
2019-11-15,70.95,41.375,2.159
2019-11-16,70.05,41.375,2.159
2019-11-17,71.34,41.375,2.159
2019-11-18,70.18,41.375,2.159
2019-11-19,70.24,41.375,2.159
2019-11-20,70.3,41.375,2.159
2019-11-21,70.29,41.375,2.159
2019-11-22,71.06,41.375,2.159
2019-11-23,71.03,41.375,2.159
2019-11-24,69.01,41.375,2.159
2019-11-25,70.4,41.375,2.159
2019-11-26,70.37,41.375,2.159
2019-11-27,70.6,41.375,2.159
2019-11-28,70.45,41.375,2.159
2019-11-29,70.52,41.375,2.159
2019-11-30,70.23,41.375,2.159
2019-12-01,69.37,41.375,2.159
2019-12-02,70.06,41.375,2.159
2019-12-03,69.96,41.375,2.159
2019-12-04,71.58,41.375,2.159
2019-12-05,71.18,41.375,2.159
2019-12-06,70.02,41.375,2.159
2019-12-07,69.44,41.375,2.159
2019-12-08,69.48,41.375,2.159
2019-12-09,70.12,41.375,2.159
2019-12-10,69.88,41.375,2.159
2019-12-11,69.9,41.375,2.159
2019-12-12,69.85,41.375,2.159
2019-12-13,70.5,41.375,2.159
2019-12-14,70.04,41.375,2.159
2019-12-15,70.39,41.375,2.159
2019-12-16,70.38,41.375,2.159
2019-12-17,70.67,41.375,2.159
2019-12-18,70.31,41.375,2.159
2019-12-19,71.27,41.375,2.159
2019-12-20,71.43,41.375,2.159
2019-12-21,70.53,41.375,2.159
2019-12-22,68.26,41.375,2.159
2019-12-23,69.52,41.375,2.159
2019-12-24,69.33,41.375,2.159
2019-12-25,67.8,41.375,2.159
2019-12-26,68.24,41.375,2.159
2019-12-27,69.58,41.375,2.159
2019-12-28,69.75,41.375,2.159
2019-12-29,68.82,41.375,2.159
2019-12-30,69.97,41.375,2.159
2019-12-31,69.74,41.375,2.159
2019-07-01,70.55,41.375,2.162
2019-07-02,69.98,41.375,2.162
2019-07-03,69.86,41.375,2.162
2019-07-04,69.97,41.375,2.162
2019-07-05,70.66,41.375,2.162
2019-07-06,69.75,41.375,2.162
2019-07-07,69.35,41.375,2.162
2019-07-08,69.61,41.375,2.162
2019-07-09,69.79,41.375,2.162
2019-07-10,69.92,41.375,2.162
2019-07-11,70.03,41.375,2.162
2019-07-12,70.54,41.375,2.162
2019-07-13,69.99,41.375,2.162
2019-07-14,69.35,41.375,2.162
2019-07-15,70.0,41.375,2.162
2019-07-16,69.51,41.375,2.162
2019-07-17,70.16,41.375,2.162
2019-07-18,70.15,41.375,2.162
2019-07-19,70.89,41.375,2.162
2019-07-20,70.96,41.375,2.162
2019-07-21,70.08,41.375,2.162
2019-07-22,69.91,41.375,2.162
2019-07-23,70.76,41.375,2.162
2019-07-24,70.57,41.375,2.162
2019-07-25,71.41,41.375,2.162
2019-07-26,70.62,41.375,2.162
2019-07-27,70.77,41.375,2.162
2019-07-28,69.85,41.375,2.162
2019-07-29,69.73,41.375,2.162
2019-07-30,70.36,41.375,2.162
2019-07-31,69.85,41.375,2.162
2019-08-01,69.62,41.375,2.162
2019-08-02,69.63,41.375,2.162
2019-08-03,69.57,41.375,2.162
2019-08-04,68.91,41.375,2.162
2019-08-05,69.4,41.375,2.162
2019-08-06,69.3,41.375,2.162
2019-08-07,69.5,41.375,2.162
2019-08-08,69.77,41.375,2.162
2019-08-09,70.04,41.375,2.162
2019-08-10,69.8,41.375,2.162
2019-08-11,69.23,41.375,2.162
2019-08-12,69.62,41.375,2.162
2019-08-13,69.02,41.375,2.162
2019-08-14,69.28,41.375,2.162
2019-08-15,68.71,41.375,2.162
2019-08-16,70.11,41.375,2.162
2019-08-17,69.59,41.375,2.162
2019-08-18,68.9,41.375,2.162
2019-08-19,69.7,41.375,2.162
2019-08-20,69.17,41.375,2.162
2019-08-21,69.18,41.375,2.162
2019-08-22,69.5,41.375,2.162
2019-08-23,69.38,41.375,2.162
2019-08-24,69.03,41.375,2.162
2019-08-25,69.08,41.375,2.162
2019-08-26,69.04,41.375,2.162
2019-08-27,69.85,41.375,2.162
2019-08-28,69.72,41.375,2.162
2019-08-29,69.4,41.375,2.162
2019-08-30,69.62,41.375,2.162
2019-08-31,69.58,41.375,2.162
2019-09-01,68.62,41.375,2.162
2019-09-02,69.27,41.375,2.162
2019-09-03,70.34,41.375,2.162
2019-09-04,69.68,41.375,2.162
2019-09-05,69.89,41.375,2.162
2019-09-06,69.97,41.375,2.162
2019-09-07,70.0,41.375,2.162
2019-09-08,69.41,41.375,2.162
2019-09-09,69.81,41.375,2.162
2019-09-10,72.31,41.375,2.162
2019-09-11,70.84,41.375,2.162
2019-09-12,69.74,41.375,2.162
2019-09-13,70.09,41.375,2.162
2019-09-14,69.61,41.375,2.162
2019-09-15,69.49,41.375,2.162
2019-09-16,69.86,41.375,2.162
2019-09-17,70.09,41.375,2.162
2019-09-18,70.06,41.375,2.162
2019-09-19,70.57,41.375,2.162
2019-09-20,70.5,41.375,2.162
2019-09-21,70.92,41.375,2.162
2019-09-22,70.15,41.375,2.162
2019-09-23,70.58,41.375,2.162
2019-09-24,70.49,41.375,2.162
2019-09-25,70.34,41.375,2.162
2019-09-26,70.45,41.375,2.162
2019-09-27,70.68,41.375,2.162
2019-09-28,70.19,41.375,2.162
2019-09-29,69.42,41.375,2.162
2019-09-30,70.54,41.375,2.162
2019-10-01,70.33,41.375,2.162
2019-10-02,70.4,41.375,2.162
2019-10-03,70.16,41.375,2.162
2019-10-04,70.42,41.375,2.162
2019-10-05,70.19,41.375,2.162
2019-10-06,70.03,41.375,2.162
2019-10-07,70.06,41.375,2.162
2019-10-08,69.95,41.375,2.162
2019-10-09,70.64,41.375,2.162
2019-10-10,70.55,41.375,2.162
2019-10-11,70.72,41.375,2.162
2019-10-12,70.48,41.375,2.162
2019-10-13,69.72,41.375,2.162
2019-10-14,71.15,41.375,2.162
2019-10-15,70.61,41.375,2.162
2019-10-16,69.48,41.375,2.162
2019-10-17,70.32,41.375,2.162
2019-10-18,69.69,41.375,2.162
2019-10-19,70.42,41.375,2.162
2019-10-20,69.58,41.375,2.162
2019-10-21,69.62,41.375,2.162
2019-10-22,70.74,41.375,2.162
2019-10-23,71.72,41.375,2.162
2019-10-24,70.15,41.375,2.162
2019-10-25,70.29,41.375,2.162
2019-10-26,70.41,41.375,2.162
2019-10-27,70.3,41.375,2.162
2019-10-28,70.33,41.375,2.162
2019-10-29,70.53,41.375,2.162
2019-10-30,70.7,41.375,2.162
2019-10-31,70.37,41.375,2.162
2019-11-01,70.17,41.375,2.162
2019-11-02,69.68,41.375,2.162
2019-11-03,69.57,41.375,2.162
2019-11-04,69.69,41.375,2.162
2019-11-05,69.75,41.375,2.162
2019-11-06,70.16,41.375,2.162
2019-11-07,70.24,41.375,2.162
2019-11-08,70.13,41.375,2.162
2019-11-09,70.0,41.375,2.162
2019-11-10,69.94,41.375,2.162
2019-11-11,70.33,41.375,2.162
2019-11-12,69.77,41.375,2.162
2019-11-13,70.16,41.375,2.162
2019-11-14,71.44,41.375,2.162
2019-11-15,70.84,41.375,2.162
2019-11-16,70.23,41.375,2.162
2019-11-17,69.58,41.375,2.162
2019-11-18,70.08,41.375,2.162
2019-11-19,69.86,41.375,2.162
2019-11-20,70.35,41.375,2.162
2019-11-21,70.38,41.375,2.162
2019-11-22,71.7,41.375,2.162
2019-11-23,71.24,41.375,2.162
2019-11-24,69.61,41.375,2.162
2019-11-25,70.36,41.375,2.162
2019-11-26,70.36,41.375,2.162
2019-11-27,70.1,41.375,2.162
